SensorID,Timestamp,Temperature,Region
S181,1/28/2024 7:00,22.74,Region1
S164,1/10/2024 22:00,18.81,Region1
S177,1/18/2024 10:00,20.77,Region1
S160,1/9/2024 17:00,24.85,Region1
S107,1/17/2024 3:00,15.27,Region1
S196,1/21/2024 4:00,26.03,Region1
S191,1/2/2024 19:00,28.62,Region1
S124,1/20/2024 21:00,25.8,Region1
S166,1/2/2024 19:00,16.27,Region1
S183,1/9/2024 18:00,15.24,Region1
S143,1/9/2024 0:00,29.5,Region1
S140,1/21/2024 2:00,28.74,Region1
S154,1/17/2024 21:00,20.32,Region1
S177,1/1/2024 16:00,15.96,Region1
S138,1/9/2024 23:00,27.88,Region1
S119,1/4/2024 19:00,INVALID,Region1
S122,1/3/2024 22:00,28.28,Region1
S138,1/29/2024 20:00,27.55,Region1
S173,1/20/2024 1:00,16.53,Region1
S123,1/20/2024 13:00,15.31,Region1
S101,1/14/2024 14:00,22.25,Region1
S147,1/28/2024 3:00,20.62,Region1
S158,1/27/2024 19:00,23.81,Region1
S171,1/29/2024 7:00,18.98,Region1
S175,1/5/2024 10:00,18.56,Region1
S176,1/14/2024 18:00,,Region1
S113,1/17/2024 7:00,27.07,Region1
S168,1/25/2024 19:00,27.3,Region1
S146,1/15/2024 21:00,18.61,Region1
S152,1/27/2024 10:00,15.01,Region1
S127,1/19/2024 11:00,21.67,Region1
S129,1/2/2024 18:00,18.04,Region1
S155,1/7/2024 23:00,18.93,Region1
S198,1/29/2024 20:00,22.12,Region1
S103,1/17/2024 22:00,29.47,Region1
S186,1/19/2024 5:00,28.19,Region1
S147,1/29/2024 5:00,29.44,Region1
S132,1/15/2024 5:00,18.95,Region1
S174,1/6/2024 7:00,22.3,Region1
S197,1/26/2024 16:00,23.41,Region1
S170,1/19/2024 19:00,26.83,Region1
S177,1/18/2024 2:00,16.54,Region1
S173,1/22/2024 4:00,26.49,Region1
S158,1/10/2024 10:00,,Region1
S183,1/13/2024 22:00,,Region1
S103,1/17/2024 9:00,16.1,Region1
S107,1/22/2024 4:00,,Region1
S179,1/9/2024 3:00,27.5,Region1
S159,1/14/2024 20:00,20.72,Region1
S151,1/17/2024 20:00,23.85,Region1
